"Council(T)","NT","Order No.","Supplier","Supplier(T)","Account","Account(T)","CostC","CostC(T)","Description","Order Amount","Irrecoverable VAT","Order Date"
"West Suffolk Council","LC",8050323,502666,"Orchestras Live","R4700","Grants",2083,"Leisure & Sports","West Suffolk Council membership ","5,634.80 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050625,504373,"MLM Concerts Ltd","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","5,591.47 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050656,505683,"Jo Sarsby Personal Management Ltd.","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","7,089.42 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050658,506451,"Entertainers Show Providers Ltd.","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","7,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050659,505116,"TGC Concerts Ltd. t/a The Gig Cartel","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","6,701.39 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050824,505949,"Strictly Theatre Co Limited","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","8,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050916,503935,"Lakin McCarthy Entertainment Ltd","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","7,000.00 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050917,500977,"DFO International Music Agency","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","6,100.00 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050920,503935,"Lakin McCarthy Entertainment Ltd","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","9,870.00 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050922,506786,"Derek Block T/A Phil Aldridge Productions Ltd.","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","6,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8050967,507158,"A Way With Media Productions Ltd.","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","9,000.00 ","0.00 ",01 April 2019
"West Suffolk Council","LC",8051067,507173,"Cole Music Productions UK T/A CMP Entertainment","R4803","Artistes/Performers Fees",2060,"The Apex","Artiste Fees","5,801.73 ","0.00 ",01 April 2019
"West Suffolk Council","LM",8050495,500054,"Abbeycroft Leisure","R4702","Management Fees",2040,"Sports & Leisure Centres","Management Fees ","97,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","LM",8050495,500054,"Abbeycroft Leisure","R4702","Management Fees",2040,"Sports & Leisure Centres","Management Fees ","97,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","LM",8050495,500054,"Abbeycroft Leisure","R4702","Management Fees",2040,"Sports & Leisure Centres","Management Fees ","97,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","LM",8050495,500054,"Abbeycroft Leisure","R4702","Management Fees",2040,"Sports & Leisure Centres","Management Fees ","97,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","LM",8050496,500544,"Bury St Edmunds Theatre Management Ltd","R4700","Grants",2030,"Arts, Heritage & Cultural Services","Grant to Theatre Royal Bury St Edmunds ","61,250.00 ","0.00 ",01 April 2019
"West Suffolk Council","LM",8050634,503692,"Victory Sports Ground C.I.C","R4700","Grants",2040,"Sports & Leisure Centres","Grant to Victory Sports Ground ","30,612.00 ","0.00 ",01 April 2019
"West Suffolk Council","LM",8051252,507168,"East Suffolk Council","R4700","Grants",2083,"Leisure & Sports","West Suffolk - Active Suffolk contribution ","6,910.00 ","0.00 ",01 April 2019
"West Suffolk Council","LP",8050340,500002,"Suffolk County Council","R4700","Grants",2083,"Leisure & Sports","West Suffolk Council contribution to Dedham Vale AONB & Stour Valley Project ","10,286.00 ","0.00 ",01 April 2019
"West Suffolk Council","LP",8050447,507051,"David J Gill","C9999","Capital Expenditure",9000,"Balance Sheet","Archaeological excavation/recording ","5,860.00 ","0.00 ",01 April 2019
"West Suffolk Council","LP",8050974,507134,"Mextra Group sc","R4005","Furniture - Purchase & Repairs",2061,"The Athenaeum","Furntiure purchase","6,315.00 ","0.00 ",01 April 2019
"West Suffolk Council","LP",8051257,503478,"The Play Inspection Company Ltd","R2004","R & M of Play Areas",2025,"Children's Play Areas","Playsite inspections","6,770.56 ","0.00 ",01 April 2019
"West Suffolk Council","PS",8050592,501852,"Keyways Locksmith Ltd","BZ580","Building Maintenance Holding Account",9000,"Balance Sheet","West Suffolk Council  Property Services","5,000.00 ","0.00 ",01 April 2019
"West Suffolk Council","PS",8050750,504631,"Carter Jonas LLP","R4400","Services - Professional Fees",6000,"Industrial & Business Units","Professional Fees","11,250.00 ","0.00 ",01 April 2019
"West Suffolk Council","PS",8050751,504880,"Truetech Integrated Ltd","R4005","Furniture - Purchase & Repairs",3025,"CCTV","BSE CCTV maintenance","9,497.49 ","0.00 ",01 April 2019
"West Suffolk Council","PS",8050772,503078,"SSE Energy Supply Limited (T/A SSE and SWALEC)","R2100","Electricity",6000,"Industrial & Business Units","Electricity supply for The Warehouse, Beetons Way, BSE ","7,298.78 ","0.00 ",01 April 2019
"West Suffolk Council","PS",8051004,506383,"Leamy Manders Ltd","R4400","Services - Professional Fees",6000,"Industrial & Business Units","Services - Professional Fees ","7,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","PS",8051063,504038,"British Telecommunications Plc t/a BT","R4001","Tools & Equipment - Hire",3025,"CCTV","Redcare rental charge for Haverhill and Ram Meadow","5,100.00 ","0.00 ",01 April 2019
"West Suffolk Council","PS",8051065,504038,"British Telecommunications Plc t/a BT","R4001","Tools & Equipment - Hire",3025,"CCTV","Redcare Vision Analogue Legacy Rental contract charge ","8,856.32 ","0.00 ",01 April 2019
"West Suffolk Council","SR",8050577,501907,"Lark Technology Group","R2002","R & M of Buildings",6000,"Industrial & Business Units","Re wire and refit electrical installation","7,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","SR",8050577,501907,"Lark Technology Group","R2002","R & M of Buildings",6000,"Industrial & Business Units","CIS labour element of re-wire and refit","7,500.00 ","0.00 ",01 April 2019
"West Suffolk Council","SR",8051028,501369,"Goodwill Roofing & Cladding Ltd","R2002","R & M of Buildings",6000,"Industrial & Business Units","Roof repairs","7,865.00 ","0.00 ",01 April 2019
"West Suffolk Council","SS",8051095,504764,"KJ & JL Mayes Contracting","C9999","Capital Expenditure",9000,"Balance Sheet","Retail building foundations","6,988.52 ","0.00 ",01 April 2019
"West Suffolk Council","SS",8051095,504764,"KJ & JL Mayes Contracting","C9999","Capital Expenditure",9000,"Balance Sheet","CIS Materials element of retail building foundations","8,000.00 ","0.00 ",01 April 2019
"West Suffolk Council","SS",8051101,500902,"D J Sears Limited","C9999","Capital Expenditure",9000,"Balance Sheet","Footpath renewal","16,110.00 ","0.00 ",01 April 2019
"West Suffolk Council","SS",8051101,500902,"D J Sears Limited","C9999","Capital Expenditure",9000,"Balance Sheet","CIS Materials element of footpath renewal","20,000.00 ","0.00 ",01 April 2019
"West Suffolk Council","WG",8051211,501621,"Initial Medical Services Ltd","R5020","TPP - Other",3044,"Clinical & Hazardous Waste Collection","Hazardous waste collection","11,518.95 ","0.00 ",01 April 2019
